nro,tproc,as,ccon,finicio,fdesp,fvenc1,fvenc2,fres,tres,mat,justiciables,reccap,iep
14199,EJECUTIVO,S,0,19/10/2016,03/11/2017,21/11/2017,05/12/2017,13/11/2017,10,NA,2,1210.7,jdopaz0000con
10940,APREMIO,S,0,20/03/2015,02/11/2017,17/11/2017,NA,17/11/2017,10,NA,2,752.3,jdopaz0000uru
11017/C-S2 Fº 154,ALIMENTOS,S,1,17/08/2017,13/11/2017,22/11/2017,29/11/2017,13/11/2017,7,F,1,0,jdofam0100uru
48199,MONITORIO EJECUTIVO,S,0,26/10/2017,07/11/2017,23/11/2017,07/12/2017,07/11/2017,8,NA,2,23242,jdocco1001pna
677/13,ORDINARIO ACCION DE NULIDAD,S,1,29/11/2013,28/09/2017,29/11/2017,28/02/2018,12/10/2017,10,C,3,0,jdocco0100gch
48417,MONITORIO EJECUTIVO,S,0,10/11/2017,29/11/2017,14/12/2017,29/12/2017,29/11/2017,6,NA,2,10500,jdocco1001pna
1134,GUARDA JUDICIAL,s,0,16/05/2016,01/12/2017,02/02/2018,NA,06/12/2017,NA,NA,2,0,jdofam0000tal
11197/C-S2 Fº 187,HOMOLOGACION DE CONVENIO,S,0,25/10/2017,01/11/2017,15/11/2017,01/12/2017,06/11/2017,7,F,1,0,jdofam0002uru
7536,ORDINARIO DAÑOS Y PERJUICIOS,S,1,03/06/2016,28/07/2017,26/09/2017,28/11/2017,22/11/2017,NA,NA,4,0,jdocco0200con
1441,MONITORIO,s,0,19/10/2017,27/11/2017,10/12/2017,27/12/2017,29/11/2017,10,c,2,0,jdopaz0000ssa
3867,MONITORIO EJECUTIVO,S,1,25/08/2017,07/11/2017,23/11/2017,07/12/2017,09/11/2017,8,C,3,0,jdopaz0000vic
33471,MONITORIO EJECUTIVO,S,0,03/11/2017,09/11/2017,24/11/2017,12/12/2017,09/11/2017,8,NA,1,2e3,jdopaz0100pna
1335,MONITORIO EJECUTIVO,S,1,01/08/2017,26/10/2017,09/11/2017,23/11/2017,08/11/2017,7,C,2,0,jdopaz0000lpa
16652,MONITORIO EJECUTIVO,S,0,10/11/2017,17/11/2017,04/12/2017,19/12/2017,29/11/2017,8,NA,2,5228.36,jdopaz0000con
5627/17,DIVORCIO,S,0,22/09/2017,27/11/2017,27/12/2017,26/02/2018,30/11/2017,7,F,2,0,jdofam0000cha
11197/C-S2 Fº 187,HOMOLOGACION DE CONVENIO,S,0,25/10/2017,01/11/2017,15/11/2017,01/12/2017,06/11/2017,7,F,1,0,jdofam0100uru
20273,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,0,10/11/2017,24/11/2017,11/12/2017,26/12/2017,24/11/2017,7,FALSE,2,0,jdofam0300pna
48414,MONITORIO APREMIO,S,0,09/11/2017,29/11/2017,14/12/2017,29/12/2017,29/11/2017,8,NA,2,21469,jdocco1002pna
13608,MONITORIO EJECUTIVO,S,0,05/09/2017,18/10/2017,01/11/2017,NA,01/11/2017,8,NA,2,17172.95,jdopaz0000uru
12263,ORDINARIO,S,1,01/02/2008,05/04/2017,05/06/2017,15/08/2017,07/11/2017,NA,NA,6,85e4,jdocco0100pna
21796,DIVORCIO,S,0,28/07/2017,11/08/2017,26/09/2017,09/11/2017,11/08/2017,7,NA,2,0,jdofam0200pna
33451,MONITORIO EJECUTIVO,S,0,01/11/2017,06/11/2017,21/11/2017,06/12/2017,06/11/2017,8,NA,1,17484.16,jdopaz0100pna
8066,BENEFICIO DE LITIGAR SIN GASTOS,S,0,29/06/2016,07/11/2017,23/11/2017,07/12/2017,22/11/2017,NA,NA,1,0,jdocco0200uru
3090/C-S2,RESTRICCIONES A LA CAPACIDAD,S,1,15/08/2008,13/09/2017,05/10/2017,27/10/2017,07/11/2017,7,F,2,0,jdofam0100uru
12525/C/S1 Fº84,RESTRICCIONES A LA CAPACIDAD,S,0,20/12/2016,07/11/2017,23/11/2017,07/12/2017,06/11/2017,7,F,1,0,jdofam0002uru
2351,ACCION DE AMPARO,S,1,17/11/2017,28/11/2017,01/12/2017,NA,28/11/2017,7,NA,1,0,jdopaz0000nog
22384,MONITORIO EJECUTIVO,S,0,30/10/2017,08/11/2017,24/11/2017,11/12/2017,09/11/2017,8,NA,2,26195.13,jdocco0502con
21976,HOMOLOGACION DE CONVENIO (CIVIL),S,0,11/09/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,1,NA,2,0,jdofam0200pna
33934,MONITORIO APREMIO,S,0,03/11/2017,14/11/2017,30/11/2017,15/12/2017,14/11/2017,8,NA,1,2598.39,jdopaz0200pna
48055,MONITORIO EJECUTIVO,S,0,09/10/2017,10/11/2017,28/11/2017,13/12/2017,10/11/2017,8,NA,2,41439.06,jdocco1002pna
19702,DIVORCIO,S,0,26/07/2017,05/09/2017,04/10/2017,06/11/2017,06/11/2017,7,FALSE,1,0,jdofam0300pna
13126,EJECUCION DE SENTENCIA Y HONORARIOS,S,1,17/11/2016,10/10/2017,25/10/2017,08/11/2017,07/11/2017,10,C,6,0,jdocco0000vic
22074,HOMOLOGACION DE CONVENIO (CIVIL),s,0,26/09/2017,31/10/2017,14/11/2017,30/11/2017,31/10/2017,2,NA,2,0,jdofam0200pna
11227,APREMIO,S,0,25/09/2015,02/11/2017,17/11/2017,NA,17/11/2017,10,NA,2,1414.3,jdopaz0000uru
1362-34-17,COBRO DE PESOS,S,1,30/10/2017,01/11/2017,NA,NA,01/11/2017,4,L,2,0,jdocco0100col
42752,EJECUCION DE HONORARIOS,S,0,29/02/2016,06/11/2017,06/11/2017,06/12/2017,06/11/2017,NA,NA,2,3100,jdocco1001pna
270/15,APREMIO,S,0,12/06/2015,28/11/2017,15/12/2017,01/02/2018,30/11/2017,10,C,1,9250.15,jdocco0100gch
22242,MONITORIO EJECUTIVO,S,0,10/10/2017,01/11/2017,15/11/2017,01/12/2017,13/11/2017,8,NA,2,28075.5,jdocco0502con
15269,EJECUTIVO,S,0,04/04/2017,14/11/2017,30/11/2017,15/12/2017,23/11/2017,10,NA,2,745.48,jdopaz0000con
20691,EJECUCION DE HONORARIOS,s,1,17/10/2016,03/10/2017,18/10/2017,01/11/2017,03/10/2017,7,NA,3,0,jdofam0200pna
15549,EJECUCION DE HONORARIOS,S,0,14/12/2016,22/09/2017,09/10/2017,24/10/2017,22/09/2017,10,NA,2,0,jdocco0600pna
596/15,MONITORIO EJECUTIVO,S,0,29/12/2015,12/10/2017,31/10/2017,14/11/2017,18/10/2017,8,C,1,57149.37,jdocco0100gch
18111FA,BENEFICIO DE LITIGAR SIN GASTOS,s,1,10/03/2017,17/11/2017,19/12/2017,19/02/2017,22/11/2017,7,NA,5,0,jdofam0000frl
16563,MONITORIO EJECUTIVO,S,0,30/10/2017,17/11/2017,04/12/2017,19/12/2017,23/11/2017,8,NA,2,14013.43,jdopaz0000con
3712,VIOLENCIA FAMILIAR,S,0,04/10/2017,13/10/2017,18/10/2017,23/10/2017,13/10/2017,NA,NA,2,0,jdofam0000nog
33541,MONITORIO APREMIO,S,0,09/11/2017,17/11/2017,04/12/2017,19/12/2017,17/11/2017,8,NA,1,17861.75,jdopaz0100pna
6455,RESTRICCIONES A LA CAPACIDAD,S,0,14/06/2017,03/11/2017,02/02/2018,19/02/2018,07/11/2017,7,NA,2,0,jdofam0000gay
3090/C-S2,RESTRICCIONES A LA CAPACIDAD,S,1,15/08/2008,13/09/2017,05/10/2017,27/10/2017,07/11/2017,7,F,2,0,jdofam0002uru
S14806,BENEFICIO DE LITIGAR SIN GASTOS,s,0,01/02/2011,09/10/2017,07/11/2017,07/12/2017,14/11/2017,0,c,2,0,jdocco0100uru
3568,MONITORIO APREMIO,S,0,16/08/2017,07/09/2017,21/09/2017,06/10/2017,30/11/2017,8,NA,2,12625.84,jdopaz0000dia
10897 C-S2 Fº 135,HOMOLOGACION DE CONVENIO (CIVIL),S,1,27/06/2017,25/10/2017,08/11/2017,22/11/2017,09/11/2017,7,F,1,0,jdofam0100uru
48370,MONITORIO APREMIO,S,0,08/11/2017,27/11/2017,12/12/2017,27/12/2017,27/11/2017,8,NA,2,44146.86,jdocco1002pna
17663,DIVORCIO,S,0,13/06/2014,03/11/2017,06/02/2018,04/04/2018,03/11/2017,7,NA,2,0,jdofam0200pna
21427,DIVORCIO,S,0,21/04/2017,11/08/2017,11/10/2017,12/12/2017,11/08/2017,7,NA,2,0,jdofam0200pna
5362,MONITORIO,S,1,02/11/2017,01/11/2017,17/11/2017,NA,17/11/2017,8,C,2,59476.19,jdocco0200nog
13654,LABORAL,S,1,02/11/2017,21/11/2017,05/12/2017,20/12/2017,21/11/2017,1,L,2,0,jdocco0000vic
4669Fº218-2017,EJECUTIVO,S,1,21/06/2017,22/11/2017,06/12/2017,21/12/2017,22/11/2017,NA,NA,2,0,jdopaz0000col
21002,EJECUTIVO,S,0,28/12/2016,08/11/2017,24/11/2017,11/12/2017,23/11/2017,10,NA,2,22275,jdocco0502con
21753,EJECUCION DE HONORARIOS,S,1,25/07/2017,10/10/2017,25/10/2017,08/11/2017,10/10/2017,7,NA,3,0,jdofam0200pna
33847,MONITORIO APREMIO,S,0,31/10/2017,21/11/2017,05/12/2017,20/12/2017,21/11/2017,8,NA,1,12031.64,jdopaz0200pna
4806Fº225-2017,APREMIO,S,1,28/09/2017,07/11/2017,22/11/2017,07/12/2017,07/11/2017,NA,NA,2,0,jdopaz0000col
18462,BENEFICIO DE LITIGAR SIN GASTOS,S,0,25/08/2017,13/11/2017,29/11/2017,14/12/2017,14/11/2017,10,C,1,0,jdocco0000frl
19238,DIVORCIO,S,1,08/09/2015,13/09/2017,27/10/2017,13/12/2017,13/09/2017,7,NA,2,0,jdofam0200pna
17462,ORDINARIO (CIVIL),S,0,17/08/2017,08/11/2017,08/02/2018,06/04/2018,17/11/2017,NA,NA,3,0,jdocco0100pna
33420,MONITORIO EJECUTIVO,S,0,27/10/2017,17/11/2017,04/12/2017,04/12/2017,17/11/2017,8,NA,2,11449.39,jdopaz0100pna
4896,MONITORIO EJECUTIVO,S,0,05/10/2017,14/11/2017,30/11/2017,15/12/2017,30/11/2017,NA,NA,2,11135.67,jdopaz0000frl
5226,EJECUTIVO,S,0,07/04/2017,30/10/2017,13/11/2017,NA,13/11/2017,10,NA,3,6602.94,jdopaz0000gay
9389,RESTRICCIONES A LA CAPACIDAD,S,1,15/03/2011,13/11/2017,06/12/2017,29/12/2017,29/12/2017,7,FALSE,2,0,jdofam0201con
14617,ALIMENTOS,S,0,09/06/2017,24/10/2017,07/11/2017,23/11/2017,28/11/2017,NA,NA,2,0,jdofam0001gch
12935/16,BENEFICIO DE LITIGAR SIN GASTOS,S,0,07/04/2016,06/11/2017,23/11/2017,07/12/2017,08/11/2017,10,C,1,0,jdocco0100cha
31953,EJECUTIVO,S,0,17/02/2017,27/11/2017,12/12/2017,27/12/2017,27/11/2017,8,NA,2,1282,jdopaz0200pna
10200,ORDINARIO DAÑOS Y PERJUICIOS,S,1,02/12/2015,10/11/2017,13/02/2018,03/04/2018,28/11/2017,0,NA,4,0,jdocco0200gch
4944,MONITORIO APREMIO,S,0,15/11/2017,15/11/2017,01/12/2017,18/12/2017,17/11/2017,NA,NA,3,10399.03,jdopaz0000frl
10973/C-S2 Fº147,DIVORCIO,S,1,27/07/2017,07/11/2017,07/12/2017,08/02/2018,07/11/2017,7,F,2,0,jdofam0100uru
18242,EJECUCION DE HONORARIOS,s,0,10/10/2017,24/11/2017,11/12/2017,26/12/2017,28/11/2017,NA,NA,2,26e3,jdocco0200pna
14632,ORDINARIO,S,1,20/10/2011,24/08/2017,20/10/2017,20/12/2017,01/11/2017,NA,NA,19,0,jdocco0100pna
15624,APREMIO,S,0,30/05/2017,30/11/2017,15/12/2017,01/02/2018,12/12/2017,10,NA,4,11801.53,jdopaz0000con
9161,HOMOLOGACION DE CONVENIO (CIVIL),s,0,08/09/2017,04/10/2017,26/10/2017,09/11/2017,09/11/2017,7,NA,2,0,jdofam0000dia
22341,MONITORIO APREMIO,S,0,24/10/2017,06/11/2017,22/11/2017,06/12/2017,09/11/2017,8,NA,2,21654.01,jdocco0501con
17867,ORDINARIO IMPUGNACION DE PATERNIDAD,S,1,12/08/2014,26/06/2017,05/09/2017,02/11/2017,27/06/2017,7,NA,3,0,jdofam0200pna
48285,MONITORIO EJECUTIVO,S,0,27/10/2017,21/11/2017,05/12/2017,20/12/2017,21/11/2017,8,NA,2,33991.69,jdocco1002pna
3062/V,VIOLENCIA FAMILIAR,s,1,17/11/2017,21/11/2017,23/11/2017,26/11/2017,21/11/2017,7,F,1,0,jdocco0000ssa
33803,MONITORIO EJECUTIVO,S,0,26/10/2017,01/11/2017,15/11/2017,01/12/2017,01/11/2017,8,NA,1,14004,jdopaz0200pna
1643,RESTRICCIONES A LA CAPACIDAD,S,0,21/05/2002,14/11/2017,19/12/2017,12/02/2018,27/11/2017,7,NA,6,0,jdofam0200pna
48391,MONITORIO APREMIO,S,0,08/11/2017,22/11/2017,06/12/2017,21/12/2017,22/11/2017,8,NA,2,60621.9,jdocco1002pna
3944,EJECUTIVO,S,1,30/08/2016,03/11/2017,17/11/2017,NA,08/11/2017,10,NA,2,0,jdopaz0000gch
18067,ACCIDENTE DE TRABAJO,S,1,24/02/2017,14/11/2017,22/11/2017,07/02/2018,29/11/2017,10,L,1,147384.3,jdocco0000frl
48341,MONITORIO APREMIO,S,0,06/11/2017,23/11/2017,07/12/2017,22/12/2017,23/11/2017,8,NA,3,55152.49,jdocco1002pna
48050,MONITORIO EJECUTIVO,S,0,09/10/2017,10/11/2017,28/11/2017,13/12/2017,10/11/2017,8,NA,2,30740.84,jdocco1002pna
33551,MONITORIO APREMIO,S,0,10/11/2017,21/11/2017,06/12/2017,21/12/2017,21/11/2017,8,NA,2,9613.26,jdopaz0100pna
10196,HOMOLOGACION DE CONVENIO (CIVIL),S,1,18/10/2017,06/11/2017,22/11/2017,NA,22/11/2017,NA,FALSE,3,0,jdofam0002col
33418,MONITORIO EJECUTIVO,S,0,27/10/2017,21/11/2017,06/12/2017,21/12/2017,21/11/2017,8,NA,2,10385.37,jdopaz0100pna
16589,PREPARACION DE LA VIA EJECUTIVA,S,0,26/09/2014,03/11/2017,21/11/2017,05/12/2017,06/11/2017,10,NA,2,16966.47,jdocco0501con
4953,MONITORIO APREMIO,S,0,22/11/2017,22/11/2017,06/12/2017,22/12/2017,23/11/2017,NA,NA,3,18220.64,jdopaz0000frl
12898,RESTRICCIONES A LA CAPACIDAD,S,0,25/09/2015,01/11/2017,24/11/2017,20/12/2017,08/11/2017,NA,NA,5,0,jdofam0001gch
1871,DIVORCIO POR MUTUO CONSENTIMIENTO,S,0,09/06/2017,18/10/2017,14/12/2017,NA,06/11/2017,NA,NA,2,0,jdofam0000tal
48251,MONITORIO EJECUTIVO,S,0,27/10/2017,15/11/2017,01/12/2017,18/12/2017,15/11/2017,8,NA,2,25403.1,jdocco1001pna
12657,LABORAL,S,1,30/12/2015,15/11/2017,01/12/2017,18/12/2017,15/11/2017,4,L,2,0,jdocco0000vic
22426,MONITORIO EJECUTIVO,s,0,08/11/2017,15/11/2017,01/12/2017,18/12/2017,30/11/2017,8,NA,2,21929.76,jdocco0502con
4538/17,EJECUTIVO,S,1,30/03/2017,20/09/2017,05/10/2017,20/10/2017,29/12/2017,10,C,2,0,jdocco0200cha
5702,MONITORIO EJECUTIVO,S,1,19/06/2017,25/10/2017,08/11/2017,24/11/2017,07/11/2017,10,C,2,46816.83,jdocco0200lpa
4974,MONITORIO APREMIO,S,0,28/11/2017,28/11/2017,13/12/2017,29/12/2017,29/11/2017,NA,NA,3,12487.28,jdopaz0000frl
33957,MONITORIO EJECUTIVO,S,0,07/11/2017,30/11/2017,15/12/2017,01/02/2017,30/11/2017,8,NA,1,5698.4,jdopaz0200pna
48319,MONITORIO EJECUTIVO,S,0,01/11/2017,14/11/2017,30/11/2017,15/12/2017,14/11/2017,8,NA,2,55452.41,jdocco1002pna
2029,DIVORCIO POR MUTUO CONSENTIMIENTO,S,0,11/09/2017,18/10/2017,14/12/2017,NA,06/11/2017,NA,NA,2,0,jdofam0000tal
48303,MONITORIO EJECUTIVO,S,0,30/10/2017,21/11/2017,05/12/2017,20/12/2017,21/11/2017,8,NA,2,37836.55,jdocco1002pna
4980,MONITORIO APREMIO,S,0,28/11/2017,28/11/2017,13/12/2017,29/12/2017,29/11/2017,NA,NA,3,12988.57,jdopaz0000frl
10144,DIVORCIO,S,0,26/09/2017,21/10/2017,29/12/2017,NA,07/11/2017,7,FALSE,2,0,jdofam0001col
1248,BENEFICIO DE LITIGAR SIN GASTOS,S,0,18/12/2014,03/10/2017,18/10/2017,01/11/2017,10/11/2017,7,NA,3,0,jdofam0000lpa
11684,DESALOJO,S,1,04/04/2016,04/09/2017,01/11/2017,02/02/2018,01/11/2017,NA,C,2,0,jdocco0100con
4785Fº224-2017,APREMIO,S,1,31/08/2017,15/11/2017,01/12/2017,18/12/2017,15/11/2017,NA,NA,2,0,jdopaz0000col
21997,ALIMENTOS,S,0,14/09/2017,15/11/2017,01/12/2017,18/12/2017,17/11/2017,1,NA,3,0,jdofam0200pna
22059,REGIMEN DE COMUNICACION,S,0,22/09/2017,07/11/2017,23/11/2017,07/12/2017,07/11/2017,2,NA,3,0,jdofam0200pna
48509,MONITORIO APREMIO,S,0,22/11/2017,29/11/2017,14/12/2017,29/12/2017,29/11/2017,8,NA,2,86580.77,jdocco1001pna
20822,ALIMENTOS,s,0,21/11/2016,23/08/2017,07/09/2017,21/09/2017,23/08/2017,7,NA,1,0,jdofam0200pna
1921,MONITORIO EJECUTIVO,S,1,17/08/2017,30/10/2017,06/11/2017,13/11/2017,13/11/2017,7,C,1,0,jdopen0000fel
13711,MONITORIO EJECUTIVO,S,0,06/10/2017,14/11/2017,30/11/2017,NA,30/11/2017,8,NA,1,15566.74,jdopaz0000uru
1421,MONITORIO EJECUTIVO,S,1,05/10/2017,31/10/2017,14/11/2017,29/11/2017,14/11/2017,7,C,1,0,jdopaz0000lpa
13701,MONITORIO EJECUTIVO,S,0,02/10/2017,26/10/2017,09/11/2017,NA,09/11/2017,8,NA,2,19008.23,jdopaz0000uru
22260,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,1,31/10/2017,17/11/2017,27/12/2017,04/12/2017,17/11/2017,NA,NA,1,0,jdofam0100pna
2345,MONITORIO APREMIO,S,1,01/11/2017,13/11/2017,27/11/2017,NA,14/11/2017,7,NA,1,0,jdopaz0000nog
4773Fº223-2017,MONITORIO EJECUTIVO,S,1,28/08/2017,08/11/2017,22/11/2017,07/12/2017,08/11/2017,8,NA,2,0,jdopaz0000col
4343/16BIS,INCIDENTE EXCLUSION HEREDITARIA,S,1,06/07/2016,26/10/2017,09/11/2017,27/11/2017,22/11/2017,10,C,5,0,jdocco0200cha
5014,MONITORIO EJECUTIVO,S,1,29/11/2017,29/11/2017,14/12/2017,29/12/2017,06/12/2017,8,C,2,0,jdocco0200vil
3967Fº187-2016,EJECUTIVO,S,1,23/08/2016,15/11/2017,01/12/2017,18/12/2017,15/11/2017,NA,NA,2,0,jdopaz0000col
14454,ALIMENTOS,S,1,24/04/2017,27/10/2017,10/11/2017,28/11/2017,22/11/2017,NA,NA,4,0,jdofam0001gch
47811,MONITORIO EJECUTIVO,S,0,14/09/2017,03/11/2017,21/11/2017,05/12/2017,03/11/2017,8,NA,2,40995.4,jdocco1002pna
20702,HOMOLOGACION DE CONVENIO (CIVIL),s,0,19/10/2016,06/11/2017,22/11/2017,06/12/2017,06/11/2017,1,NA,2,0,jdofam0200pna
34115,ACCION DE AMPARO POR MORA,S,1,24/11/2017,29/11/2017,02/12/2017,NA,30/11/2017,7,NA,1,0,jdopaz0200pna
3876,VIOLENCIA FAMILIAR,s,0,06/11/2017,08/11/2017,11/11/2017,NA,09/11/2017,NA,NA,2,0,jdofam0000nog
13735,MONITORIO EJECUTIVO,S,0,19/10/2017,03/11/2017,21/11/2017,NA,21/11/2017,8,NA,2,18218.75,jdopaz0000uru
34009,MONITORIO EJECUTIVO,S,0,09/11/2017,22/11/2017,06/12/2017,21/12/2017,22/11/2017,8,NA,1,11760,jdopaz0200pna
20020,DIVORCIO,S,0,25/09/2017,24/10/2017,27/11/2017,27/12/2017,24/11/2017,7,FALSE,2,0,jdofam0300pna
48066,MONITORIO EJECUTIVO,S,0,09/10/2017,09/11/2017,27/11/2017,12/12/2017,09/11/2017,8,NA,2,42562.76,jdocco1002pna
21585,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,s,0,30/05/2017,16/06/2017,03/07/2017,31/07/2017,16/06/2017,7,f,2,0,jdofam0200pna
42059,EJECUCION DE HONORARIOS,S,0,01/02/2016,03/11/2017,21/11/2017,05/12/2017,03/11/2017,NA,NA,3,650,jdocco1001pna
4949,MONITORIO APREMIO,S,0,15/11/2017,15/11/2017,01/12/2017,18/12/2017,17/11/2017,NA,NA,3,12391.89,jdopaz0000frl
5526,MONITORIO EJECUTIVO,S,0,30/10/2017,30/10/2017,14/11/2017,NA,14/11/2017,8,NA,2,5155.03,jdopaz0000gay
6645,PREPARACION DE LA VIA EJECUTIVA,S,0,28/02/2014,30/11/2017,15/12/2017,01/02/2018,30/11/2017,NA,C,2,0,jdocco0100vil
20825,INCIDENTE NULIDAD,S,1,18/11/2016,26/07/2017,09/08/2017,24/08/2017,11/09/2017,7,NA,2,0,jdofam0200pna
3847,COBRO DE PESOS,S,1,17/11/2014,01/11/2017,15/11/2017,NA,06/11/2017,10,L,3,0,jdocco0200vil
1448,MONITORIO EJECUTIVO,s,0,24/10/2017,27/11/2017,12/12/2017,27/12/2017,29/11/2017,10,c,2,0,jdopaz0000ssa
48343,MONITORIO APREMIO,S,0,06/11/2017,22/11/2017,06/12/2017,21/12/2017,22/11/2017,6,NA,1,20561.52,jdocco1002pna
33592,MONITORIO APREMIO,S,0,13/11/2017,23/11/2017,07/12/2017,22/12/2017,23/11/2017,8,NA,2,6180.4,jdopaz0100pna
48058,MONITORIO EJECUTIVO,S,0,09/10/2017,13/11/2017,29/11/2017,14/12/2017,13/11/2017,8,NA,2,52362.1,jdocco1002pna
16367,MONITORIO EJECUTIVO,S,0,10/10/2017,02/11/2017,17/11/2017,04/12/2017,07/11/2017,8,NA,2,15516,jdopaz0000con
18532,RESTRICCIONES A LA CAPACIDAD,S,0,25/02/2015,05/09/2017,26/09/2017,19/10/2017,21/09/2017,7,NA,6,0,jdofam0200pna
14697,RESTRICCIONES A LA CAPACIDAD,S,0,26/04/2012,11/10/2017,02/11/2017,27/11/2017,24/10/2017,7,NA,6,0,jdofam0200pna
9573/C-S2  55  XII,DIVORCIO,S,1,29/12/2015,13/09/2017,12/10/2017,10/11/2017,09/11/2017,7,F,2,0,jdofam0002uru
17220,ORDINARIO DAÑOS Y PERJUICIOS,S,1,10/04/2013,09/05/2017,27/06/2017,23/08/2017,22/11/2017,7,NA,15,0,jdocco0700pna
5775,MONITORIO EJECUTIVO,S,1,13/09/2017,15/11/2017,01/12/2017,18/12/2017,22/11/2017,8,C,2,36195.27,jdocco0200lpa
22429,MONITORIO APREMIO,S,0,09/11/2017,23/11/2017,07/12/2017,22/12/2017,30/11/2017,8,NA,2,37705.45,jdocco0501con
21844,HOMOLOGACION DE CONVENIO (CIVIL),S,0,10/08/2017,31/08/2017,14/09/2017,28/09/2017,31/08/2017,7,NA,2,0,jdofam0200pna
6985 BIS,ACCIDENTE DE TRABAJO,S,1,19/08/2014,02/05/2017,14/06/2017,27/07/2017,29/11/2017,NA,L,4,0,jdocco0000tal
13729,MONITORIO EJECUTIVO,s,0,18/10/2017,01/11/2017,15/11/2017,NA,15/11/2017,8,NA,2,9453.6,jdopaz0000uru
22307,DIVORCIO,s,0,27/11/2017,07/12/2017,08/03/2018,07/05/2018,07/12/2017,7,NA,2,0,jdofam0200pna
48505,MONITORIO EJECUTIVO,S,0,22/11/2017,29/11/2017,14/12/2017,29/12/2017,29/11/2017,8,NA,2,25e3,jdocco1001pna
22338,MONITORIO APREMIO,S,0,24/10/2017,08/11/2017,24/11/2017,11/12/2017,21/11/2017,8,NA,2,21936.24,jdocco0502con
14640,ORDINARIO ACCIDENTES DE TRANSITO,S,1,19/12/2014,23/03/2017,22/05/2017,02/08/2017,06/07/2017,NA,NA,4,0,jdocco0600pna
21249,EJECUCION DE HONORARIOS,S,0,14/03/2017,24/10/2017,07/11/2017,23/11/2017,24/10/2017,7,NA,2,0,jdofam0200pna
3587,EJECUTIVO,S,1,21/03/2016,03/11/2017,17/11/2017,NA,07/11/2017,10,NA,2,0,jdopaz0000gch
16016,ORDINARIO (CIVIL),S,1,28/07/2014,22/05/2017,01/08/2017,27/09/2017,21/11/2017,NA,NA,8,0,jdocco0100pna
33809,MONITORIO EJECUTIVO,s,0,27/10/2017,08/11/2017,24/11/2017,11/12/2017,08/11/2017,8,NA,1,14137.8,jdopaz0200pna
13732,MONITORIO EJECUTIVO,S,0,18/10/2017,01/11/2017,15/11/2017,NA,15/11/2017,8,NA,2,6e3,jdopaz0000uru
33566,MONITORIO EJECUTIVO,s,0,13/11/2017,24/11/2017,11/12/2017,26/12/2017,24/11/2017,8,NA,2,9931,jdopaz0100pna
16474,MONITORIO EJECUTIVO,S,0,23/10/2017,02/11/2017,17/11/2017,04/12/2017,08/11/2017,8,NA,2,15726.95,jdopaz0000con
8015/C-S2,RESTRICCIONES A LA CAPACIDAD DESIGNACION DE CURADOR,S,0,14/08/2014,25/09/2017,18/10/2017,08/11/2017,14/11/2017,7,F,1,0,jdofam0100uru
30552,PREPARACION VIA MONITORIA,S,0,11/10/2016,23/11/2017,07/12/2017,22/12/2017,23/11/2017,8,NA,2,0,jdopaz0200pna
20761,EJECUTIVO,S,1,28/10/2016,14/11/2017,30/11/2017,15/12/2017,30/11/2017,10,NA,3,5e4,jdocco0501con
9822,IMPUGNACION DE RECONOCIMIENTO,S,0,07/06/2017,29/11/2017,01/02/2018,NA,26/12/2017,NA,F,2,0,jdofam0202con
8651,HOMOLOGACION DE CONVENIO,S,0,18/04/2017,10/11/2017,25/11/2017,NA,14/11/2017,10,C,4,0,jdocco0100nog
47188,MONITORIO EJECUTIVO,S,0,07/07/2017,28/11/2017,13/12/2017,28/12/2017,28/11/2017,8,NA,2,25100,jdocco1002pna
4747Fº222-2017,MONITORIO EJECUTIVO,S,1,16/08/2017,08/11/2017,22/11/2017,07/12/2017,08/11/2017,8,NA,2,0,jdopaz0000col
4977,MONITORIO EJECUTIVO,S,1,27/10/2017,01/11/2017,15/11/2017,01/12/2017,29/12/2017,8,C,1,0,jdocco0200vil
1314,MONITORIO EJECUTIVO,S,1,26/07/2017,26/10/2017,09/11/2017,23/11/2017,07/11/2017,7,C,2,0,jdopaz0000lpa
1274,MONITORIO EJECUTIVO,S,1,31/05/2017,31/10/2017,14/11/2017,29/11/2017,10/11/2017,7,C,1,0,jdopaz0000lpa
16370,MONITORIO EJECUTIVO,S,0,10/10/2017,03/11/2017,21/11/2017,05/12/2017,06/11/2017,8,NA,2,18215.64,jdopaz0000con
33573,MONITORIO APREMIO,S,0,13/11/2017,28/11/2017,13/12/2017,28/12/2017,28/11/2017,8,NA,1,9466.42,jdopaz0100pna
13338,INCIDENTE DE NULIDAD,S,1,25/04/2017,31/10/2017,14/11/2017,30/11/2017,02/11/2017,10,L,2,0,jdocco0000vic
19027,EJECUCION DE HONORARIOS,S,1,10/07/2015,25/09/2017,10/10/2017,25/10/2017,25/09/2017,7,NA,2,0,jdofam0200pna
4893,MONITORIO EJECUTIVO,S,0,05/10/2017,14/11/2017,30/11/2017,15/12/2017,30/11/2017,NA,NA,2,17305.83,jdopaz0000frl
